No	音	英語	日本語	☑	✖
考え出す，工夫する(動詞)
	0
1448		
intimate
親密な，密接な(形容詞)
	0
1449		
seldom
めったに～しない，稀に(副詞)
	0
1450		
criticism
批判，評価(名詞)
	0
1451		
price
値段，価格(名詞)
	0
1452		
invisible
見えない，不可視な(形容詞)
	0
1453		
present
現在の，出席して(形容詞)
	0
1454		
somehow
どうにか，何とか(副詞)
	0
1455		
agreement
同意，賛成(名詞)
	0
1456		
although
だけれども，しかし(接続詞)
	0
1457		
advocate
提唱する，主張する(動詞)
	0
1458		
increasingly
ますます，更に(副詞)
	0
1459		
govern
統治する，支配する(動詞)
	0
1460		
electronic
電子の，電子式の(形容詞)
	0
1461		
necessarily
必然的に，必ず(副詞)
	0
1462		
severe
厳しい，厳格な(形容詞)
	0
1463		
convenient
都合がよい，便利な(形容詞)
	0
1464		
due
期限の，納期の(形容詞)
	0
1465		
coast
海岸，沿岸地域(名詞)
	0
1466		
extreme
極端な，過激な(形容詞)
	0
1467		
relief
安堵，軽減(名詞)
	0
1468		
edge
端，縁(名詞)
	0
1469		
vice
副担当の，代理の(形容詞)
	0
1470		
national
国の，国民の(形容詞)
	0
1471		
vulnerable
傷つきやすい，繊細(形容詞)
	0
1472		
evolution
進化，発展(名詞)
	0
1473		
slight
かすかな，わずかの(形容詞)
	0
1474		
rely
頼る，依存する(動詞)
	0
1475		
globe
地球，地球体(名詞)
	0
1476		
constitution
憲法，構成，組織(名詞)
	0
1477		
prompt
即座の，直ちに(形容詞)
	0
1478		
restriction
制限，限定(名詞)
	0
1479		
rapid
急速な，急激な(形容詞)
	0
1480		
inspector
検査官，監査人(名詞)
	0
1481		
essentially
本質的に，根本的に(副詞)
	0
1482		
select
を選び出す，を選ぶ(動詞)
	0
1483		
carbon
炭素，炭素素子(名詞)
	0
1484		
sudden
突然の，急な(形容詞)
	0
1485		
deliberately
故意に，慎重に(副詞)
	0
1486		
significant
重要な，大切な(形容詞)
	0
1487		
employ
雇う，採用する(動詞)
	0
1488		
latest
最新の，最先端の(形容詞)
	0
1489		
tough
頑強な，丈夫な(形容詞)
	0
1490		
tide
潮，潮流(名詞)
	0
1491		
asset
資産，財産(名詞)
	0
1492		
origin
起源，由来(名詞)
	0
1493		
popular
人気のある，評判の良い(形容詞)
	0
1494		
colony
植民地，入植地(名詞)
	0
1495		
distribution
分布，配分(名詞)
	0
1496		
plot
話の筋，物語の筋(名詞)
	0
1497		
mortgage
抵当，担保(名詞)
	0
1498		
drug
麻薬，薬(名詞)
	0
1499		
possibly
ひょっとすると，もしかしたら(副詞)
	0
1500		
advice
助言，忠告(名詞)
	0
1501		
industrialize
産業化する，工業化する(動詞)
	0
1502		
complain
不満を言う，不平を言う(動詞)
	0
1503		
county
州，郡(名詞)
	0
1504		
supporter
支援者，後援者(名詞)
	0
1505		
federal
連邦の，連邦制の(形容詞)
	0
1506		
fur
毛皮，皮毛(名詞)
	0
1507		
commercial
商業の，商取引の(形容詞)
	0
1508		
aggression
攻撃性，侵略(名詞)
	0
1509		
entire
全体の，全部の(形容詞)
	0
1510		
silly
馬鹿な，愚かな(形容詞)
	0
1511		
brick
れんが，れんが状のもの(名詞)
	0
1512		
basis
土台，根拠(名詞)
	0
1513		
protect
を守る，保護する(動詞)
	0
1514		
confirm
確認する，確かめる(動詞)
	0
1515		
broad
広い，拡大する(形容詞)
	0
1516		
prior
優先の，前の(形容詞)
	0
1517		
consequence
結果，影響(名詞)
	0
1518		
pretty
かなり，相当に(副詞)
	0
1519		
manufacturer
製造元，製造業者(名詞)
	0
1520		
exhibition
展示，展覧(名詞)
	0
1521		
cruise
巡航する，航行する(動詞)
	0
1522		
extraordinary
普通でない，異常な(形容詞)
	0
1523		
leisure
余暇，自由時間(名詞)
	0
1524		
multiple
掛け算する，乗算する(動詞)
	0
1525		
variation
変化，変動(名詞)
	0
1526		
suit
適合する，合致する(動詞)
	0
1527		
teenager
十代，少年期(名詞)
	0
1528		
bare
裸の，露出の(形容詞)
	0
1529		
minority
少数派，少数群(名詞)
	0
1530		
rapidly
素早く，迅速に(副詞)
	0
1531		
odd
変な，奇妙な(形容詞)
	0
1532		
lawn
芝生，草地(名詞)
	0
1533		
consist
成り立つ，構成する(動詞)
	0
1534		
duty
職務，関税(名詞)
	0
1535		
period
期間，周期(名詞)
	0
1536		
comprehensive
包括的な，理解力のある(形容詞)
	0
1537		
achievement
達成，成就(名詞)
	0
1538		
sum
合計，総計(名詞)
	0
1539		
seem
の様に見える，思われる(動詞)
	0
1540		
implement
実施する/道具，手段(動詞)
	0
1541		
interior
内部の，内側の(形容詞)
	0
1542		
calculate
計算する，算出する(動詞)
	0
1543		
dominate
を支配する，を統制する(動詞)
	0
1544		
obligation
義務，責任(名詞)
	0
1545		
joy
喜び，歓喜(名詞)
	0
1546		
throat
のど，咽喉(名詞)
	0
1547		
imagination
想像，仮想(名詞)
	0
1548		
democrat
民主主義者，民主派(名詞)
	0
1549		
chapter
章，区切り(名詞)
	0
1550		
hell
地獄，奈落(名詞)
	0
1551		
lean
傾く，寄りかかる(動詞)
	0
1552		
pan
フライパン(名詞)
	0
1553		
blast
爆風，突風(名詞)
	0
1554		
exist
存在する，実在する(動詞)
	0
1555		
politician
政治家，政府要人(名詞)
	0
1556		
industrial
産業の，工業の(形容詞)
	0
1557		
merchant
商人，販売者(名詞)
	0
1558		
assembly
集合，群集(名詞)
	0
1559		
focus
焦点，中心(名詞)
	0
1560		
actual
現実の，事実の(形容詞)
	0
1561		
universe
宇宙，宙域(名詞)
	0
1562		
nerve
神経，神経線(名詞)
	0
1563		
mostly
主に，ほとんど(副詞)
	0
1564		
criminal
犯罪の，違法の(形容詞)
	0
1565		
passage
一節，節分(名詞)
	0
1566		
logic
論理，理論(名詞)
	0
1567		
arise
起こる，現れる(動詞)
	0
1568		
whatever
なんでも，何もかも(代名詞)
	0
1569		
rebel
反逆者，造反者(名詞)
	0
1570		
encounter
遭遇する，出会う(動詞)
	0
1571		
depress
落胆させる，失望させる(動詞)
	0
1572		
widely
広範囲に，多くの範囲に(副詞)
	0
1573		
expansion
拡張，拡大，増幅(名詞)
	0
1574		
existence
存在，実在(名詞)
	0
1575		
peculiar
奇妙な，変わった(形容詞)
	0
1576		
strict
厳しい，厳格な(形容詞)
	0
1577		
firm
しっかりした，堅い(形容詞)
	0
1578		
desperate
やけくその，軽率な(形容詞)
	0
1579		
sort
種類，類(名詞)
	0
1580		
personally
個人的に，本人自ら(副詞)
	0
1581		
urge
強く促す，早める(動詞)
	0
1582		
blood
血，血液(名詞)
	0
1583		
institution
制度，設立(名詞)
	0
1584		
facility
施設，手洗い，便利さ(名詞)
	0
1585		
crew
乗組員，船員(名詞)
	0
1586		
index
索引，目次(名詞)
	0
1587		
unpleasant
不愉快な，不快な(形容詞)
	0
1588		
etc
等々，などなど(名詞)
	0
1589		
elementary
初級の，入門の(形容詞)
	0
1590		
viewer
観察者，視聴者，監視人(名詞)
	0
1591		
spiritual
精神の，心の(形容詞)
	0
1592		
conference
会議，対話(名詞)
	0
1593		
freeze
凍る，氷結(動詞)
	0
1594		
debate
討論，議論(名詞)
	0
1595		
swallow
を飲み込む，嚥下する(動詞)
	0
1596		
convey
伝える，運ぶ(動詞)
	0
1597		
honor
名誉，特権，栄誉(名詞)
	0
1598		
traffic jam
交通渋滞，道路渋滞(名詞)
	0
1599		
concrete
具体的な，明確な(形容詞)
	0
1600		
laboratory
実験室，研究所(名詞)
	0
1601		
capable
可能性がある，才能のある(形容詞)
	0
1602		
treasure
宝，財産(名詞)
	0
1603		
reserve
を取っておく，を保管する(動詞)
	0
1604		
phenomenon
現象，事象(名詞)
	0
1605		
chest
たんす，チェスト(名詞)
	0
1606		
bite
を噛む，かじる(動詞)
	0
1607		
proper
適切な，ふさわしい(形容詞)
	0
1608		
rub
こする，さする(動詞)
	0
1609		
shortly
まもなく，近々(副詞)
	0
1610		
term
期間，専門用語(名詞)
	0
1611		
psychological
心理的な，精神的な(形容詞)
	0
1612		
right
正しい，正確な(形容詞)
	0
1613		
inclined
傾いた，(し)がちで(形容詞)
	0
1614		
attract
引きつける，魅了する(動詞)
	0
1615		
headquarters
本部，中心(名詞)
	0
1616		
highlight
目立たせる，最も明るい部分(動詞)
	0
1617		
owe
を借りている，借用する(動詞)
	0
1618		
accustomed
慣れている，いつもの(形容詞)
	0
1619		
portion
部分，一部分(名詞)
	0
1620		
mad
狂った，狂気じみた(形容詞)
	0
1621		
buyer
買い手，購入者(名詞)
	0
1622		
till
まで，至る(前置詞)
	0
1623		
destruction
破壊，壊滅(名詞)
	0
1624		
injury
怪我，負傷(名詞)
	0
1625		
confusion
混乱，無秩序(名詞)
	0
1626		
employer
雇用者，雇い主(名詞)
	0
1627		
crop
収穫物，作物(名詞)
	0
1628		
nervous
神経質な，びくびくして(形容詞)
	0
1629		
companion
仲間，同志(名詞)
	0
1630		
distance
距離，間隔(名詞)
	0
1631		
impression
印象，感じ(名詞)
	0
1632		
confront
直面させる，に立ち向かう(動詞)
	0
1633		
path
小道，細道(名詞)
	0
1634		
suppress
抑える，抑圧する(動詞)
	0
1635		
decline
断る，拒否する(動詞)
	0
1636		
truth
真実，事実(名詞)
	0
1637		
intellectual
知的な，知識に関する(形容詞)
	0
1638		
jail
刑務所，拘置所(名詞)
	0
1639		
cease
やめる，中止する(動詞)
	0
1640		
pile
積み重ね，累積(名詞)
	0
1641		
cover
を覆う，隠す(動詞)
	0
1642		
finance
財政，財務(名詞)
	0
1643		
cast
投げる，放る(動詞)
	0
1644		
distinct
他と違った，別の(形容詞)
	0
1645		
conservation
保全，保護(名詞)
	0
1646		
prosecutor
検察官，検事(名詞)
	0
1647		
task
仕事，職業(名詞)
	0
1648		
initially
最初は，初めて(副詞)
	0
1649		
behalf
代わって，の代わりに(名詞)
	0
1650		
region
地域，領域(名詞)
	0
1651		
prefer
より好む，好む(動詞)
	0
1652		
perspective
見解，見通し(名詞)
	0
1653		
income
所得，収入(名詞)
	0
1654		
identical
同一の，全く同じの(形容詞)
	0
1655		
impressive
印象的な，鮮烈な(形容詞)
	0
1656		
polite
礼儀正しい，丁寧な(形容詞)
	0
1657		
executive
実行する，実施する(形容詞)
	0
1658		
rough
ごつごつした，粗い(形容詞)
	0
1659		
proposed
提案した，提供した(形容詞)
	0
1660		
province
州，地方(名詞)
	0
1661		
personality
人格，性格(名詞)
	0
1662		
stake
くい，掛け金(名詞)
	0
1663		
goal
目標，目的(名詞)
	0
1664		
girlfriend
女友達，女の友人(名詞)
	0
1665		
forward
前方へ，前に(副詞)
	0
1666		
narrow
幅が狭い，細い(形容詞)
	0
1667		
divorce
離婚/離婚する(名詞)
	0
1668		
apart
離れて，遠くに(副詞)
	0
1669		
emphasis
強調，重視(名詞)
	0
1670		
shooting
撮影，射撃(名詞)
	0
1671		
inhabitant
居住者，住人(名詞)
	0
1672		
recession
不況，後退(名詞)
	0
1673		
passive
受身の，消極的な(形容詞)
	0
1674		
subtle
微妙な，繊細な(形容詞)
	0
1675		
competitive
競争力のある，競争による(形容詞)
	0
1676		
clothing
衣料品，服(名詞)
	0
1677		
wise
賢い，賢明な(形容詞)
	0
1678		
pursuit
追跡，追跡行為(名詞)
	0
1679		
settlement
移住，定住(名詞)
	0
1680		
seize
つかむ，把握する(動詞)
	0
1681		
partnership
共同，提携(名詞)
	0
1682		
expression
表現，言い回し(名詞)
	0
1683		
dispute
争議/論争する(名詞)
	0
1684		
contrary
反対の，逆の(形容詞)
	0
1685		
expand
拡大する，広がる(動詞)
	0
1686		
intelligence
知能，知性(名詞)
	0
1687		
shortage
不足，欠乏(名詞)
	0
1688		
compound
調合する，調合品を作る(動詞)
	0
1689		
defeat
負かす，打ち破る(動詞)
	0
1690		
assumption
想定，仮説(名詞)
	0
1691		
sustain
保持する，維持する(動詞)
	0
1692		
initiative
主導権，自発性(名詞)
	0
1693		
bow
お辞儀する，頭を下げる(動詞)
	0
1694		
examination
試験，実験(名詞)
	0
1695		
confidence
自信，信頼(名詞)
	0
1696		
yield
産出する，生ずる(動詞)
	0
1697		
firmly
堅く，確固として(副詞)
	0
1698		
engaged
に従事して，忙しくして(形容詞)
	0
1699		
impulse
衝動，衝力(名詞)
	0
1700		
destroy
を破壊する，を壊す(動詞)
	0
1701		
steady
着実な，安定した(形容詞)
	0
1702		
element
要素，元素(名詞)
	0
1703		
dealer
販売業者，売り手(名詞)
	0
1704		
mysterious
不可解な，不思議な(形容詞)
	0
1705		
comparison
比較，対照(名詞)
	0
1706		
communist
共産主義者，共産党員(名詞)
	0
1707		
republic
共和国，共和制国家(名詞)
	0
1708		
expose
明らかにする，明示する(動詞)
	0
1709		
department
部門，課(名詞)
	0
1710		
explanation
説明，解説(名詞)
	0
1711		
isolate
を孤立させる，隔離する(動詞)
	0
1712		
proceed
進む，始める(動詞)
	0
1713		
explore
探索する，調査する(動詞)
	0
1714		
regarding
に関して，について(前置詞)
	0
1715		
stupid
馬鹿な，愚かな(形容詞)
	0
1716		
alive
生きている，存命の(形容詞)
	0
1717		
dramatic
劇的な，感動的な(形容詞)
	0
1718		
potential
潜在的な，潜伏している(形容詞)
	0
1719		
approval
承認，認可(名詞)
	0
1720		
dare
思い切ってする，断行する(動詞)
	0
1721		
activist
行動主義者，活動家(名詞)
	0
1722		
effectively
効果的に，事実上(副詞)
	0
1723		
strain
張る，伸ばす(動詞)
	0
1724		
shame
恥，羞恥(名詞)
	0
1725		
cash
現金，手元資金(名詞)
	0
1726		
asleep
眠っている，寝ている(形容詞)
	0
1727		
mass
塊，大部分(名詞)
	0
1728		
latter
後者の，後半の(形容詞)
	0
1729		
absolutely
絶対に，必ず(副詞)
	0
1730		
intention
意図，目的(名詞)
	0
1731		
science
科学，自然科学(名詞)
	0
1732		
split
割る，裂く(動詞)
	0
1733		
diminish
減らす，小さくする(動詞)
	0
1734		
positive
自信のある，確信している(形容詞)
	0
1735		
remote
遠い，遠隔の(形容詞)
	0
1736		
collect
集める，収集する(動詞)
	0
1737		
equivalent
等しい，同等の(形容詞)
	0
1738		
bear
我慢する，を圧迫する(動詞)
	0
1739		
empire
帝国，王国(名詞)
	0
1740		
navy
海軍，水軍(名詞)
	0
1741		
significance
重要性，意義(名詞)
	0
1742		
practical
実用的な，有用な(形容詞)
	0
1743		
guess
推測する，予想する(動詞)
	0
1744		
agriculture
農業，耕作(名詞)
	0
1745		
leap
跳ぶ，はねる(動詞)
	0
1746		
empty
何も入っていない，空っぽの(形容詞)
	0
1747		
insight
洞察，洞察力(名詞)
	0
1748		
verbal
言葉の，語句の(形容詞)
	0
1749		
unit
単位，員数(名詞)
	0
1750		
evil
邪悪な，悪しき(形容詞)
	0
1751		
newly
新たに，最近(副詞)
	0
1752		
automobile
自動車，乗用車(名詞)
	0
1753		
university
大学，大学校(名詞)
	0
1754		
publication
出版物，刊行物(名詞)
	0
1755		
past
過去の，終わった(形容詞)
	0
1756		
contrast
対照，比較(名詞)
	0
1757		
immigrant
移民，移住者(名詞)
	0
1758		
lack
不足，欠乏(名詞)
	0
1759		
brief
短い，短時間の(形容詞)
	0
1760		
cop
警官，警察官(名詞)
	0
1761		
eager
強く望んでいる，切望している(形容詞)
	0
1762		
crown
王冠，王座(名詞)
	0
1763		
observer
観察者，傍観者(名詞)
	0
1764		
nod
うなずく，会釈する(動詞)
	0
1765		
investment
投資，出資(名詞)
	0
1766		
scientific
科学の，理科の(形容詞)
	0
1767		
constitute
構成する，組み立てる(動詞)
	0
1768		
moral
道徳の，道徳的な(形容詞)
	0
1769		
voter
投票者，選挙人(名詞)
	0
1770		
remarkable
目立った，際立った(形容詞)
	0
1771		
mere
単なる，ただの(形容詞)
	0
1772		
belong
に属する，所属する(動詞)
	0
1773		
pursue
追い求める，追跡する(動詞)
	0
1774		
totally
完全に，全く(副詞)
	0
1775		
patient
我慢強い，患者(名詞)
	0
1776		
match
試合，競技(名詞)
	0
1777		
weather
天候，天気(名詞)
	0
1778		
survival
生存，生き残ること(名詞)
	0
1779		
fellow
仲間，友人(名詞)
	0
1780		
towards
の方へ，向かって(前置詞)
	0
1781		
aircraft
航空機，飛行機(名詞)
	0
1782		
legislation
立法，法制定(名詞)
	0
1783		
wherever
どこでも，どの場所でも(接続詞)
	0
1784		
tax
税金，税収(名詞)
	0
1785		
nuclear
核の，中心の(形容詞)
	0
1786		
internal
内部の，内側の(形容詞)
	0
1787		
enterprise
会社，事業(名詞)
	0
1788		
initial
当初の，最初の(形容詞)
	0
1789		
division
分割，割り当て(名詞)
	0
1790		
parallel
平行の，並行の(形容詞)
	0
1791		
preference
好み，好き(名詞)
	0
1792		
consideration
考慮，考察(名詞)
	0
1793		
expectation
期待，予想(名詞)
	0
1794		
literally
文字通りに，直訳で(副詞)
	0
1795		
grave
墓，墓地(名詞)
	0
1796		
laughter
笑い，笑顔(名詞)
	0
1797		
found
設立する，創立する(動詞)
	0
1798		
terror
恐怖，恐れ(名詞)
	0
1799		
suitable
適した，好都合な(形容詞)
	0
1800		
reference
参照，参考(名詞)
	0
1801		
fabric
織物，布地(名詞)
	0
1802		
length
長さ，延長(名詞)
	0
1803		
deny
を否定する，拒否する(動詞)
	0
1804		
satellite
衛星，人工衛星(名詞)
	0
1805		
steadily
着実に，確実に(副詞)
	0
1806		
fundamental
基本的な，基礎の(形容詞)
	0
1807		
strategy
戦略，戦術(名詞)
	0
1808		
virtually
実質的に，事実上(副詞)
	0
1809		
partly
部分的に，一部分(副詞)
	0
1810		
profession
職業，仕事(名詞)
	0
1811		
undergo
経験する，体験する(動詞)
	0
1812		
congress
会議，集会(名詞)
	0
1813		
given
与えられた，授与された(形容詞)
	0
1814		
traffic
交通，運輸(名詞)
	0
1815		
mainly
主に，もっぱら(副詞)
	0
1816		
cave
ほら穴，洞窟(名詞)
	0
1817		
fancy
空想，想像(名詞)
	0
1818		
wisdom
知恵，賢明さ(名詞)
	0
1819		
blink
瞬きをする，瞬間を過ごす(動詞)
	0
1820		
scholar
学者，研究者(名詞)
	0
1821		
rid
を取り除く，除去する(動詞)
	0
1822		
privilege
特権，特典(名詞)
	0
1823		
method
方法，手段(名詞)
	0
1824		
establishment
設立，創立(名詞)
	0
1825		
shrug
肩をすくめる，無視する(動詞)
	0
1826		
aloud
声に出して，大声で(副詞)
	0
1827		
continue
をし続ける，続ける(動詞)
	0
1828		
master
主人，支配人(名詞)
	0
1829		
rating
評価，鑑定(名詞)
	0
1830		
extra
余分の，特別の(形容詞)
	0
1831		
flee
逃げる，逃走する(動詞)
	0
1832		
administration
機関，運営(名詞)
	0
1833		
die
死ぬ，亡くなる(動詞)
	0
1834		
throughout
至るところに，終始(前置詞)
	0
1835		
shit
大便，便(名詞)
	0
1836		
tradition
伝統，慣習(名詞)
	0
1837		
typical
典型的な，代表的な(形容詞)
	0
1838		
weigh
重さがある，の重さを量る(動詞)
	0
1839		
unlikely
起こりそうにない，ありそうもない(形容詞)
	0
1840		
weight
重さ，体重(名詞)
	0
1841		
normally
通常は，普通に(副詞)
	0
1842		
retain
保持する，持ち続ける(動詞)
	0
1843		
overwhelming
圧倒的な，支配的な(形容詞)
	0
1844		
promotion
昇進，進級(名詞)
	0
1845		
massive
巨大な，大規模な(形容詞)
	0
1846		
desirable
望ましい，理想的な(形容詞)
	0
1847		
stare
じっと見つめる，しきりに観察する(動詞)
	0
1848		
application
適用，応用(名詞)
	0
1849		
grasp
つかむ，把握する(動詞)
	0
1850		
fat
太った，肥満した(形容詞)
	0
1851		
gene
遺伝子，遺因(名詞)
	0
1852		
contract
契約，協定(名詞)
	0
1853		
discuss
について議論する，検討する(動詞)
	0
1854		
court
裁判所，法廷(名詞)
	0
1855		
analysis
分析，解析(名詞)
	0
1856		
generate
発生させる，起こす(動詞)
	0
1857		
regardless
にも関わらず，不注意で(副詞)
	0
1858		
fire
首にする，火をつける/火，火事(動詞)
	0
1859		
entitle
と題する，と名づける(動詞)
	0
1860		
bury
埋める，充填する(動詞)
	0
1861		
pit
くぼみ，凹み(名詞)
	0
1862		
critical
極めて重要な，非常に大事な(形容詞)
	0
1863		
crisis
危機，困難(名詞)
	0
1864		
flood
洪水，氾濫(名詞)
	0
1865		
wildlife
野生動物，野生生物(名詞)
	0
1866		
wrong
間違い，誤った(形容詞)
	0
1867		
wear
身につけている，着用している(動詞)
	0
1868		
earn
稼ぐ，得る(動詞)
	0
1869		
import
輸入する，直輸入する(動詞)
	0
1870		
retirement
退職，引退(名詞)
	0
1871		
stream
流れ，水流(名詞)
	0
1872		
species
種，種族(名詞)
	0
1873		
recovery
回復，復元(名詞)
	0
1874		
coalition
連立，連合(名詞)
	0
1875		
acquaintance
知人，友人(名詞)
	0
1876		
peer
同僚，仲間(名詞)
	0
1877		
alter
を変える，を改変する(動詞)
	0
1878		
absolute
絶対的な，完全な(形容詞)
	0
1879		
secretary
秘書，秘書官(名詞)
	0
1880		
deserve
値する，価値がある(動詞)
	0
1881		
contribute
に寄付する，捧げる(動詞)
	0
1882		
implication
含み，裏の意味(名詞)
	0
1883		
calm
穏やかな，静かな(形容詞)
	0
1884		
constantly
常に，いつも(副詞)
	0
1885		
famous
有名な，著名な(形容詞)
	0
1886		
precisely
正確に，精密に(副詞)
	0
1887		
parking
駐車場，停車場(名詞)
	0
1888		
ad
広告，宣伝(名詞)
	0
1889		
commander
司令官，指揮官(名詞)
	0
1890		
rise
上がる，昇る(動詞)
	0
1891		
gain
得る，獲得する(動詞)
	0
1892		
proud
自慢に思って，誇らしげな(形容詞)
	0
1893		
lose
失う，無くす(動詞)
	0
1894		
editor
編集者，論客(名詞)
	0
1895		
killer
殺人者，凶悪犯(名詞)
	0
1896		
material
材料，原料(名詞)
	0
1897		
breast
胸部，胸(名詞)
	0
1898		
appetite
食欲，食い気(名詞)
	0
1899		
flavor
風味，味(名詞)
	0
1900		
aim
ねらいをつける，狙う(動詞)
	0
1901		
preparation
準備，用意(名詞)
	0
1902		
investigation
調査，研究(名詞)
	0
1903		
storage
倉庫，保管場所(名詞)
	0
1904		
investor
投資家，投資者(名詞)
	0
1905		
whole
全部の，すべての(形容詞)
	0
1906		
regulation
規制，規定(名詞)
	0
1907		
existing
既存の，現存の(形容詞)
	0
1908		
fate
運命，宿命(名詞)
	0
1909		
accuse
告発する，告発(動詞)
	0
1910		
object
物体，実体(名詞)
	0
1911		
cope
対処する，処理する(動詞)
	0
1912		
racial
人種の，民族の(形容詞)
	0
1913		
judge
を判断する/裁判官(動詞)
	0
1914		
disagree
反対する，拒否する(動詞)
	0
1915		
release
解き放つ，解放する(動詞)
	0
1916		
literary
文学の，文芸の(形容詞)
	0
1917		
maybe
たぶん，おそらく(副詞)
	0
1918		
alliance
同盟，協定(名詞)
	0
1919		
thought
考えること，意見(名詞)
	0
1920		
comedy
喜劇，茶番(名詞)
	0
1921		
reply
返答する，応答する(動詞)
	0
1922		
gay
同性愛の，同性愛者の(形容詞)
	0
1923		
definite
明確な，限定的な(形容詞)
	0
1924		
attempt
試み，試練(名詞)
	0
1925		
commission
手数料，委任状(名詞)
	0
1926		
except
を除いて，除外して(前置詞)
	0
1927		
height
高さ，高度(名詞)
	0
1928		
favorite
特に好きな，お気に入りの(形容詞)
	0
1929		
harmful
有害な，害のある(形容詞)
	0
1930		
terrible
ひどい，恐ろしい(形容詞)
	0
1931		
dull
面白みのない，鈍い(形容詞)
	0
1932		
context
文脈，背景(名詞)
	0
1933		
fold
折りたたむ，畳む(動詞)
	0
1934		
suggestion
提案，案(名詞)
	0
1935		
steam
蒸気，水蒸気(名詞)
	0
1936		
extensive
広範な，広い範囲の(形容詞)
	0
1937		
mayor
市長，町長(名詞)
	0
1938		
funding
資金調達，資本集め(名詞)
	0
1939		
operator
操作者，操縦者(名詞)
	0
1940		
universal
普遍的な，万能の(形容詞)
	0
1941		
exposure
暴露，さらすこと(名詞)
	0
1942		
pose
姿勢，体勢(名詞)
	0
1943		
headline
見出し，表題(名詞)
	0
1944		
bang
ドンドン叩く/ズドンという音(動詞)
	0
1945		
likely
起こりそうな，可能性がある(形容詞)
	0
1946		
necessity
必要性，必須(名詞)
	0
1947		
